"","veh_value","exposure","numclaims","veh_body","veh_age","gender","area","agecat","claimsize"
"5535",6.3000002,0.8186174,1,"PANVN",4,"M","B",3,89717
"53594",19,0.88706368,1,"HBACK",1,"F","B",5,4706
"9599",13.400001,0.26283371,1,"HBACK",2,"F","C",1,2000
"50535",9.1000004,0.39972621,1,"SEDAN",4,"M","C",2,18060
"49785",8.1000004,0.77481169,1,"HBACK",3,"F","C",4,2775
"21471",23.199999,0.56947303,1,"SEDAN",2,"F","E",3,12145
"54727",18.6,0.9117043,2,"SEDAN",2,"M","B",4,20543
"54604",18.099998,0.60232723,1,"HBACK",2,"F","C",2,2000
"44750",7,0.1013005,1,"SEDAN",4,"F","B",5,19527
"56094",31.400002,0.61327863,1,"STNWG",3,"M","B",4,3537
"57745",22.200001,0.66803563,1,"HBACK",1,"F","A",5,2045
"17916",16.699999,0.42436689,1,"STNWG",4,"F","F",3,39349
"35360",43.299999,0.2819986,1,"STNWG",1,"F","B",3,22582
"5310",14.2,0.87611222,1,"SEDAN",3,"F","C",3,2000
"9835",17.299999,0.7912389,1,"MIBUS",4,"M","B",3,23455
"59723",4.4000001,0.64613283,1,"SEDAN",4,"M","B",1,5675
"35399",34.299999,0.098562598,1,"STNWG",1,"M","C",3,2000
"6107",4.4000001,0.81587952,1,"HBACK",4,"F","C",3,24602
"63510",8.3000002,0.75017112,1,"SEDAN",4,"M","C",5,14264
"11572",23.900002,0.78850102,1,"STNWG",4,"M","C",3,2199
"63605",29.1,0.8021903,1,"STNWG",3,"F","D",4,4200
"2182",14,0.91718,1,"SEDAN",3,"F","C",3,2000
"6435",11.599999,0.99931562,1,"STNWG",4,"M","A",2,3450
"36655",18.49,0.68172479,1,"SEDAN",1,"F","D",1,4364
"58329",0,0.99931562,1,"BUS",4,"M","E",6,4909
"12263",19.700001,0.63244349,1,"STNWG",4,"M","B",4,4420
"47063",13.5,0.41889119,1,"HBACK",2,"F","B",3,34240
"43544",32.799999,0.21629021,1,"STNWG",2,"F","F",1,3537
"5770",19.299999,0.65160853,2,"SEDAN",2,"M","A",4,5537
"3020",9,0.50650239,1,"UTE",4,"F","B",2,3778
"38119",15,0.1368925,1,"SEDAN",2,"F","C",1,2000
"56058",22.200001,0.66803563,1,"HBACK",1,"F","A",4,21698
"51837",4.5999999,0.9336071,1,"SEDAN",4,"F","E",4,17256
"62547",21.199999,0.56125939,1,"STNWG",2,"F","C",2,5678
"61607",27.5,0.43258041,1,"SEDAN",1,"F","D",4,5905
"38305",13.6,0.45448321,1,"HBACK",2,"F","C",2,9418
"58366",25,0.25735801,1,"SEDAN",1,"M","A",3,2000
"28206",9.5,0.47364819,1,"SEDAN",3,"M","A",2,2000
"62598",14.28,0.8733744,1,"HBACK",1,"F","A",4,2000
"3555",10.1,0.89801508,1,"HBACK",3,"F","C",3,3537
"56011",14.5,0.32854211,2,"SEDAN",3,"F","C",6,12752
"17689",44.699997,0.83778232,1,"STNWG",1,"M","E",2,13926
"11505",17.700001,0.50102669,1,"HBACK",1,"M","C",2,5481
"65660",23.900002,0.9336071,2,"SEDAN",2,"F","C",3,16090
"14598",18.700001,0.48186171,1,"SEDAN",1,"F","C",2,17166
"23309",17.299999,0.39151269,1,"SEDAN",2,"F","B",3,7646
"45551",7.5999999,0.78850102,1,"PANVN",4,"F","A",4,6946
"48140",16.5,0.98015058,1,"SEDAN",2,"F","A",3,21224
"49925",56.300003,0.3258042,1,"STNWG",1,"M","A",3,24178
"21468",11.5,0.55852163,1,"SEDAN",3,"F","B",5,2000
"31046",19.1,0.60506499,1,"HBACK",2,"F","C",2,2000
"44998",19.799999,0.33949351,1,"HBACK",2,"M","A",1,2000
"39799",10.599999,0.65982199,1,"HDTOP",4,"M","C",4,3538
"20018",7.9000001,0.8186174,1,"SEDAN",3,"F","A",3,3734
"27468",18.099998,0.35592061,1,"SEDAN",2,"F","F",4,9832
"35581",27.9,0.31211501,1,"STNWG",2,"F","B",3,5629
"54383",13.990001,0.91444218,1,"HBACK",1,"M","A",3,4063
"58206",12.5,0.95277208,1,"SEDAN",3,"F","C",4,8498
"20355",20.5,0.82683092,1,"STNWG",3,"F","F",4,29830
"44074",52.360001,0.99931562,1,"STNWG",1,"F","C",5,3450
"59911",7.9000001,0.65434629,2,"SEDAN",3,"M","A",4,11325
"65456",6.7000003,0.53661883,1,"SEDAN",4,"F","C",4,57862
"18796",7.0999999,0.52019173,3,"HBACK",4,"F","B",2,24532
"4281",23.599998,0.92539358,1,"STNWG",3,"F","C",2,4622
"25070",8.6000004,0.86516082,1,"HBACK",4,"F","C",4,62527
"26641",17.4,0.8021903,2,"HBACK",2,"F","B",4,24733
"50142",18.5,0.94182068,1,"SEDAN",2,"F","B",2,2368
"48011",19.6,0.99931562,1,"SEDAN",2,"M","E",6,4650
"23521",3.5,0.8678987,1,"SEDAN",4,"F","A",6,2000
"2068",4.3000002,0.69815189,1,"SEDAN",4,"F","B",2,4200
"49967",24.1,0.62149209,1,"HBACK",3,"M","A",2,2000
"26294",15.5,0.73100609,1,"HBACK",2,"F","A",4,4399
"46007",14.400001,0.99931562,1,"TRUCK",4,"F","F",3,144089
"62989",66.900002,0.86516082,1,"STNWG",1,"F","B",5,14621
"52659",11.7,0.93086928,2,"COUPE",3,"F","B",4,10306
"6911",18.9,0.807666,1,"SEDAN",2,"F","C",4,2435
"35781",8,0.30663931,1,"SEDAN",4,"F","D",3,234047
"11712",22.9,0.8898015,1,"STNWG",3,"F","E",2,36938
"14500",14.5,0.99931562,1,"TRUCK",4,"M","B",2,3450
"19747",28,0.49828881,1,"STNWG",2,"F","E",4,5118
"33890",5.4000001,0.079397701,1,"HBACK",4,"M","C",3,2183
"64487",7.3000002,0.2819986,1,"SEDAN",4,"F","A",4,23315
"67855",9.7000008,0.3203285,1,"HBACK",3,"F","C",2,76467
"35792",12.4,0.62696779,1,"HBACK",3,"F","A",5,7837
"27960",31.989998,0.51745379,1,"STNWG",1,"M","D",3,9442
"459",33,0.9062286,1,"STNWG",2,"M","A",5,23493
"22698",14.700001,0.90349078,1,"SEDAN",3,"F","C",3,10434
"8328",27.799999,0.32306641,1,"STNWG",2,"F","A",2,3677
"50605",11.599999,0.72553039,1,"SEDAN",3,"M","B",1,10677
"17420",17.799999,0.62696779,1,"TRUCK",1,"F","F",3,179975
"3299",17.299999,0.62970573,1,"SEDAN",2,"F","C",4,2000
"43699",17.4,0.8131417,1,"HBACK",2,"M","B",4,66167
"32775",9.8000002,0.69267619,1,"SEDAN",3,"M","C",6,3537
"21438",24.700001,0.46269679,1,"STNWG",2,"M","D",2,7570
"30601",11.2,0.30116361,1,"HBACK",3,"F","A",6,11444
"64606",34.299999,0.9226557,2,"STNWG",3,"F","C",3,24163
"66764",13.3,0.52566743,1,"STNWG",4,"M","D",3,3900
"1411",33.299999,0.65982199,1,"STNWG",3,"F","B",3,11801
"10211",61.399998,0.73921973,1,"SEDAN",2,"M","C",3,2272
"26902",13.099999,0.33401781,1,"HBACK",1,"F","D",2,2000
"6399",31,0.81587952,1,"UTE",2,"F","F",2,4089
"61839",71.989998,0.99931562,1,"STNWG",1,"F","A",3,216690
"7224",12.9,0.72826833,1,"SEDAN",3,"F","C",4,3677
"63135",19.5,0.83230662,1,"STNWG",4,"M","D",5,3538
"40304",12,0.74469543,1,"HBACK",2,"F","A",6,2000
"20758",23,0.34770709,1,"STNWG",3,"F","C",2,3537
"7833",8.1000004,0.18343601,1,"HBACK",4,"F","A",4,9939
"15768",25.299999,0.48186171,1,"STNWG",2,"M","E",2,3687
"7514",16.1,0.58863789,1,"SEDAN",2,"M","B",6,2000
"35923",11.900001,0.8131417,1,"HBACK",2,"F","C",4,8394
"28130",12.6,0.49828881,1,"SEDAN",3,"M","A",3,19846
"56025",14.2,0.67077339,2,"SEDAN",3,"M","B",2,19557
"66965",11,0.8459959,1,"HBACK",3,"M","B",5,27231
"32869",37.900002,0.55852163,1,"HDTOP",2,"M","B",4,2000
"64735",23.699999,0.54209453,1,"MIBUS",3,"F","A",3,8260
"60324",29.5,0.57768649,1,"STNWG",3,"M","C",2,55544
"53258",11.1,0.32854211,1,"SEDAN",4,"M","F",3,103500
"1294",17.799999,0.9226557,1,"HBACK",2,"F","B",5,2000
"10256",17.299999,0.88706368,1,"HBACK",2,"F","C",5,2923
"7784",30.200001,0.52019173,1,"STNWG",2,"F","A",4,30968
"6142",7.3000002,0.66529769,1,"HBACK",3,"F","D",3,17532
"45544",13.7,0.53114313,1,"HBACK",1,"F","B",4,2000
"38115",18.099998,0.83230662,2,"SEDAN",2,"F","C",5,8075
"4179",21.300001,0.39425051,1,"SEDAN",2,"F","C",6,2000
"46660",3.4000001,0.52019173,1,"PANVN",4,"F","D",4,56272
"242",18.799999,0.75017112,1,"PANVN",3,"M","D",3,3691
"31028",7.4000001,0.52840519,1,"UTE",4,"M","C",6,10436
"60436",8.3999996,0.084873401,1,"HBACK",3,"M","B",1,3899
"11711",41,0.109514,1,"STNWG",2,"M","E",4,15222
"40173",21.400002,0.35865849,1,"SEDAN",3,"M","A",3,75717
"55274",52.360001,0.99931562,1,"STNWG",1,"M","D",4,3537
"31728",17.4,0.8733744,1,"SEDAN",2,"F","A",6,2000
"45993",11.3,0.35044491,1,"HBACK",2,"M","B",4,2000
"15086",7,0.64065713,1,"UTE",4,"M","B",1,19405
"5474",4.0999999,0.87611222,1,"SEDAN",4,"F","D",1,2000
"45648",47.900002,0.57768649,1,"STNWG",2,"M","C",4,3450
"34465",8.1000004,0.55030799,1,"HBACK",4,"M","B",5,13847
"53701",21.700001,0.74469543,1,"STNWG",2,"F","F",3,9949
"20918",41.100002,0.66255993,1,"STNWG",2,"F","B",3,3845
"24087",17.4,0.81040382,1,"HBACK",3,"F","A",6,2000
"44909",4.1999998,0.97741282,1,"SEDAN",4,"M","A",4,3537
"15090",15.1,0.15058181,1,"MIBUS",4,"F","B",2,5871
"53739",20.799999,0.69541413,1,"SEDAN",2,"M","C",3,14300
"6348",0,0.99931562,2,"STNWG",4,"F","B",2,13943
"39716",27,0.67624909,1,"STNWG",2,"F","B",3,63358
"63325",36.199997,0.9281314,1,"STNWG",3,"M","C",4,10280
"33497",31,0.71457899,1,"STNWG",2,"F","C",3,29001
"20879",12.6,0.99931562,1,"HBACK",2,"F","A",4,3817
"45530",12.6,0.62149209,1,"HBACK",2,"F","A",2,3691
"2797",19.9,0.39698839,1,"STNWG",4,"M","A",3,3595
"21966",22.799999,0.84325802,2,"STNWG",2,"M","A",3,4274
"4876",9.8000002,0.71457899,1,"HBACK",3,"M","C",1,2000
"28202",22,0.47364819,1,"STNWG",3,"M","F",3,4604
"54674",11.2,0.49281311,1,"SEDAN",3,"F","A",3,3537
"14086",19.6,0.60232723,1,"STNWG",2,"M","C",6,3386
"48041",18.4,0.99931562,1,"COUPE",3,"M","B",4,8536
"36343",29.9,0.9281314,1,"STNWG",2,"M","A",2,3450
"11020",4.4000001,0.64339489,1,"TRUCK",4,"F","C",3,62454
"48745",10,0.29295,1,"STNWG",4,"F","C",1,9429
"55975",19.400002,0.90349078,1,"STNWG",4,"F","D",1,9157
"29301",17.799999,0.13415471,1,"SEDAN",2,"M","C",5,2000
"19365",31,0.8131417,1,"STNWG",3,"M","E",2,3899
"47418",8.3000002,0.97741282,1,"SEDAN",4,"F","B",3,2000
"59749",7.4000001,0.2600958,1,"HBACK",4,"F","B",4,31126
"47692",19.799999,0.58316219,1,"SEDAN",2,"M","D",5,12826
"45759",20.200001,0.64887059,1,"SEDAN",1,"F","A",6,22267
"47609",36.199997,0.9609856,1,"UTE",1,"M","D",5,3287
"27400",16.4,0.9390828,1,"SEDAN",2,"F","C",2,7800
"45139",10.5,0.99931562,2,"SEDAN",4,"F","A",4,13334
"19445",37.5,0.77207392,1,"HDTOP",2,"M","F",1,5000
"15943",13.5,0.084873401,1,"HBACK",1,"F","C",2,10472
"32077",16.200001,0.78028738,1,"HDTOP",3,"F","C",2,2000
"5087",25.200001,0.82683092,1,"TRUCK",3,"M","B",2,3450
"66103",14.8,0.1204654,1,"SEDAN",2,"F","E",5,9706
"26888",7.5,0.58042443,1,"STNWG",4,"M","C",2,18291
"65284",14.299999,0.25735801,1,"SEDAN",2,"M","D",6,6959
"50758",30.200001,0.67351133,1,"STNWG",3,"M","A",2,3537
"40580",22.299999,0.99110198,2,"TRUCK",1,"M","F",3,19754
"60167",9.8000002,0.56947303,1,"SEDAN",3,"F","B",4,7465
"33327",13.7,0.56947303,1,"HBACK",2,"F","B",2,3899
"26913",15.700001,0.77207392,2,"HBACK",2,"F","C",3,8010
"32939",38.699997,0.1697467,1,"STNWG",2,"M","A",4,11100
"24122",14,0.74743319,1,"SEDAN",3,"F","E",6,14792
"457",19.799999,0.9117043,1,"STNWG",4,"M","C",6,26593
"27590",24.400002,0.21081451,1,"TRUCK",2,"M","F",1,7559
"59872",3.8999999,0.95277208,1,"HBACK",4,"F","B",5,32139
"16812",14.2,0.9117043,1,"HBACK",3,"F","B",2,3537
"65776",24.200001,0.62970573,1,"SEDAN",1,"F","C",4,9427
"4212",26.6,0.86516082,1,"STNWG",3,"M","A",5,8873
"34565",12.6,0.99657768,1,"HBACK",2,"M","C",1,4438
"53919",25.599998,0.049281299,1,"HBACK",2,"M","C",2,2000
"6163",34.900002,0.68720049,1,"STNWG",2,"F","C",4,14043
"16535",8.1999998,0.15605751,1,"SEDAN",4,"F","E",5,29570
"20536",10.900001,0.56673509,1,"SEDAN",3,"F","E",2,43800
"62600",21.900002,0.36687201,1,"TRUCK",4,"M","C",2,214562
"3593",9.1999998,0.47638601,1,"HBACK",4,"M","C",3,14491
"31409",3.8,0.1368925,1,"HBACK",4,"M","B",4,2000
"61063",11.900001,0.2190281,1,"STNWG",4,"M","B",3,5345
"45756",95,0.9445585,1,"SEDAN",3,"F","A",3,36136
"27904",13.6,0.71184123,1,"HBACK",2,"F","B",1,56214
"39911",15.1,0.3148528,1,"SEDAN",2,"F","B",1,12996
"6200",42.700001,0.8843258,1,"STNWG",2,"F","B",4,9170
"57429",14.5,0.89253938,1,"TRUCK",4,"M","E",4,3899
"8169",18.099998,0.89801508,1,"SEDAN",2,"F","A",2,7369
"22118",8.5,0.39698839,1,"SEDAN",3,"F","C",4,5661
"33877",45.599998,0.52292949,1,"STNWG",1,"F","A",3,4092
"65692",21.5,0.807666,1,"HBACK",3,"F","C",3,2000
"38605",10.8,0.73374403,1,"STNWG",4,"M","F",3,3899
"6307",6.5,0.18891171,1,"COUPE",4,"F","C",3,47812
"9109",22.6,0.79945242,1,"HBACK",1,"M","A",4,5269
"28558",26.224998,0.59958929,1,"SEDAN",1,"F","C",3,2000
"35779",5.1999998,0.70636553,2,"SEDAN",4,"M","C",5,16040
"4697",16,0.59685153,1,"SEDAN",2,"F","D",3,36902
"59702",7.9000001,0.94729638,2,"HBACK",4,"F","A",2,37311
"4545",12.200001,0.99931562,1,"HBACK",3,"F","C",4,4720
"55463",23.5,0.9664613,1,"SEDAN",2,"F","B",4,2000
"67352",11.799999,0.8569473,1,"SEDAN",3,"M","C",3,5867
"60953",15.900001,0.62970573,1,"COUPE",4,"M","F",4,3899
"23772",15.8,0.8240931,1,"STNWG",3,"F","C",1,6806
"5472",35.599998,0.87611222,1,"UTE",1,"F","A",4,86246
"11516",27.9,0.9336071,1,"TRUCK",3,"M","D",2,19980
"51590",3.8999999,0.68446273,1,"SEDAN",4,"M","B",4,3691
"55019",7.0999999,0.67624909,1,"SEDAN",4,"F","D",3,18975
"51552",56,0.68446273,1,"SEDAN",2,"F","B",4,11016
"47005",13.3,0.29021221,1,"HBACK",2,"M","B",3,62054
"26614",13.8,0.36687201,1,"SEDAN",3,"M","A",2,4417
"56054",19.5,0.32854211,1,"SEDAN",2,"F","E",2,3537
"51892",8.6000004,0.98015058,1,"SEDAN",4,"F","A",4,2000
"12171",19.799999,0.58042443,1,"HBACK",2,"F","C",6,91632
"865",10.4,0.71731693,1,"HBACK",2,"F","C",4,2000
"4698",20.1,0.59685153,1,"HBACK",1,"M","C",3,9083
"56007",24.799999,0.67077339,1,"STNWG",2,"F","A",3,22308
"51927",10.8,0.9336071,1,"SEDAN",3,"M","A",2,3537
"8245",23.5,0.89801508,1,"UTE",2,"M","A",1,2000
"61532",19.199999,0.56125939,1,"SEDAN",1,"M","A",1,62454
"41431",13.099999,0.54483229,1,"SEDAN",2,"F","C",1,37506
"960",8.8999996,0.75290889,1,"HBACK",3,"F","B",4,9313
"38376",28.5,0.65982199,1,"SEDAN",1,"M","C",3,2384
"23495",7.0999999,0.2874743,1,"HBACK",4,"M","C",2,127859
"34350",12.4,0.35592061,1,"UTE",4,"M","B",2,119279
"63656",3.7,0.64339489,1,"HBACK",4,"F","C",5,46718
"38452",12,0.29021221,1,"HBACK",1,"F","B",4,2000
"27419",40.799999,0.36687201,1,"SEDAN",2,"M","C",4,2000
"60586",20.799999,0.9390828,1,"SEDAN",2,"F","C",5,2000
"50368",32.299999,0.9445585,1,"PANVN",2,"M","C",1,26394
"11152",5.6999998,0.77754962,1,"SEDAN",4,"M","A",2,2603
"7890",10.1,0.1368925,2,"SEDAN",4,"F","C",3,6620
"67471",9.1999998,0.64887059,2,"HBACK",3,"M","B",5,103339
"43217",12,0.98836422,1,"SEDAN",3,"M","C",3,4527
"14091",8.3999996,0.60232723,1,"HBACK",3,"F","C",3,2000
"1530",11.1,0.9007529,1,"HBACK",3,"F","D",4,5078
"26970",4.7999997,0.72279263,1,"HBACK",4,"M","C",1,3537
"67674",28.299999,0.90896648,3,"PANVN",2,"M","B",2,11732
"47094",47.900002,0.41889119,1,"STNWG",2,"M","B",4,6577
"11359",8.6999998,0.25188231,1,"HBACK",3,"F","C",2,34308
"10894",21.800001,0.8733744,2,"UTE",3,"M","D",3,7639
"14562",17.6,0.48186171,1,"SEDAN",2,"M","C",2,6990
"54100",16.835001,0.1478439,1,"HBACK",1,"F","C",2,4731
"35177",13.5,0.0301164,1,"TRUCK",3,"M","C",2,6916
"43131",15.2,0.97467488,1,"STNWG",4,"M","C",6,3831
"24119",25.699999,0.81040382,1,"SEDAN",2,"M","C",4,14245
"53753",19.1,0.94729638,1,"HBACK",3,"M","A",4,4050
"19602",32.099998,0.75838459,1,"STNWG",1,"M","A",5,18188
"49710",14.099999,0.99110198,1,"SEDAN",3,"M","C",5,5655
"60300",12.4,0.34770709,1,"HBACK",3,"M","C",4,3677
"48536",12.6,0.61601639,2,"SEDAN",3,"F","D",3,49878
"37310",9.5,0.69541413,1,"HBACK",3,"F","C",4,2000
"45171",11.599999,0.54757023,1,"STNWG",4,"F","C",4,39780
"28210",14.099999,0.34770709,1,"SEDAN",3,"M","C",2,138335
"39952",8.8000002,0.73921973,1,"STNWG",4,"M","C",4,3450
"4134",10.599999,0.2655715,1,"HBACK",4,"F","C",2,3537
"55250",12.1,0.96919918,1,"SEDAN",3,"F","C",3,2000
"31180",10.299999,0.52840519,1,"HBACK",3,"F","A",3,49459
"64063",6,0.9281314,1,"SEDAN",4,"F","C",5,59766
"55535",29.9,0.62696779,1,"UTE",1,"M","F",4,280128
"48417",16.799999,0.99657768,1,"SEDAN",2,"M","B",3,2000
"61842",43.699997,0.55852163,1,"STNWG",1,"M","C",5,5161
"54530",25.799999,0.99931562,1,"HDTOP",1,"F","F",5,9485
"2426",13.9,0.060232699,1,"HBACK",1,"M","A",6,2000
"32247",38.599998,0.69541413,1,"STNWG",2,"M","C",1,30748
"28680",43.899998,0.8843258,1,"STNWG",2,"M","A",2,3119
"586",5.0999999,0.9117043,1,"HBACK",4,"F","B",6,24946
"6727",27.1,0.50102669,1,"STNWG",2,"M","D",3,22623
"65998",7.2000003,0.16153321,1,"HBACK",4,"F","B",6,2000
"42360",36.600002,0.75017112,1,"STNWG",2,"F","E",5,3899
"9368",23.5,0.58042443,1,"STNWG",3,"M","D",6,9197
"66561",9.8999996,0.9390828,1,"SEDAN",3,"F","A",2,6694
"10394",33,0.50650239,1,"STNWG",2,"F","B",3,21447
"7054",47.800003,0.98836422,1,"STNWG",1,"M","A",3,5659
"53839",39.100002,0.68446273,1,"STNWG",2,"M","E",3,38170
"54752",13,0.99657768,1,"HBACK",2,"F","A",3,2000
"33175",47,0.27378511,1,"STNWG",1,"F","A",2,2000
"5283",6,0.89801508,1,"SEDAN",4,"M","A",4,16273
"40586",10,0.032854199,1,"SEDAN",3,"F","A",6,34318
"48373",3.8,0.80492812,1,"SEDAN",4,"F","C",4,2000
"64875",15.299999,0.23271731,1,"HBACK",1,"F","E",3,27224
"53199",15,0.75017112,1,"HBACK",3,"F","A",4,87517
"54855",17.799999,0.59411359,1,"STNWG",3,"F","C",2,5616
"46797",35.5,0.71184123,1,"STNWG",2,"F","A",2,3537
"62488",27.9,0.99931562,1,"TRUCK",3,"M","E",3,3537
"351",22.9,0.35318279,1,"STNWG",4,"F","F",4,5000
"57384",29.5,0.41615331,1,"SEDAN",1,"M","B",2,46223
"12250",12.6,0.99931562,1,"HBACK",2,"F","C",6,14260
"55137",8.3000002,0.99383992,1,"SEDAN",4,"M","D",4,2000
"34265",12,0.77207392,2,"SEDAN",3,"F","C",2,19846
"31298",13.9,0.52840519,1,"SEDAN",2,"F","A",3,33406
"21307",9.7000008,0.53388089,1,"SEDAN",3,"F","E",6,28892
"24583",17.700001,0.9390828,1,"STNWG",2,"M","C",5,6966
"66626",39.900002,0.91991788,1,"STNWG",1,"M","B",3,7079
"66954",8.3999996,0.38329911,1,"HBACK",4,"F","A",3,3537
"31316",15.2,0.70088983,1,"STNWG",4,"M","E",1,49285
"7184",12.7,0.77481169,1,"TRUCK",4,"F","E",2,4089
"2341",6.8000002,0.60780293,1,"HBACK",4,"F","C",5,2000
"58080",23.299999,0.66529769,1,"SEDAN",1,"F","A",4,2000
"37802",11.799999,0.8350445,1,"HBACK",2,"F","B",1,35326
"52004",30.9,0.31211501,1,"SEDAN",1,"F","A",5,22261
"1598",33,0.7967146,1,"UTE",2,"M","E",1,18640
"49210",21.199999,0.1177276,1,"HBACK",2,"M","B",4,2604
"18825",20,0.8240931,1,"HBACK",1,"M","C",4,56640
"62574",11.5,0.61327863,1,"HBACK",3,"M","A",5,74242
"48076",15.8,0.99931562,1,"HBACK",3,"F","B",4,2000
"33131",42.800003,0.51471603,1,"STNWG",2,"M","F",2,24257
"44091",12.799999,0.62696779,1,"HBACK",2,"F","A",4,3448
"39094",16.299999,0.2409309,1,"SEDAN",2,"F","E",3,3899
"64910",27.9,0.54209453,1,"STNWG",1,"F","A",5,3035
"56541",3.0999999,0.79945242,1,"SEDAN",4,"M","B",6,3537
"7884",8.8999996,0.98015058,1,"HBACK",3,"F","B",3,2000
"53301",12.799999,0.3039014,1,"HBACK",4,"F","B",1,133683
"29010",41.900002,0.59685153,1,"STNWG",2,"M","A",4,3537
"29925",12.7,0.34496921,1,"STNWG",4,"M","B",4,18849
"50563",18,0.39425051,1,"SEDAN",2,"F","C",3,3537
"66678",21.989998,0.068446301,1,"SEDAN",1,"F","C",1,94256
"57468",24.1,0.9609856,1,"STNWG",3,"M","F",3,3899
"32506",3.8999999,0.3258042,1,"HBACK",4,"F","A",1,4826
"1507",47.299999,0.52566743,2,"STNWG",1,"M","E",2,16426
"9246",32,0.41889119,1,"SEDAN",2,"M","B",4,13841
"42785",47.099998,0.47364819,1,"STNWG",1,"M","C",3,33379
"38455",23.4,0.40520191,1,"PANVN",2,"F","C",4,6252
"33742",20.200001,0.29021221,1,"STNWG",3,"M","B",5,21881
"65644",35.400002,0.8131417,1,"STNWG",2,"F","D",5,3899
"48471",19,0.1806982,1,"SEDAN",2,"M","A",3,84354
"37990",11.799999,0.83230662,1,"HBACK",2,"F","B",1,5454
"45791",11.4,0.42162901,1,"HBACK",2,"F","D",2,4114
"13108",16.1,0.36139631,1,"HBACK",2,"F","C",5,2000
"66655",21.700001,0.34496921,1,"HDTOP",3,"F","F",3,32586
"25182",17.9,0.41615331,1,"STNWG",4,"F","C",1,3450
"58552",18.200001,0.63244349,1,"HBACK",2,"M","A",2,2000
"54989",18.799999,0.67624909,1,"SEDAN",2,"F","E",2,26107
"61376",18.700001,0.8843258,1,"STNWG",4,"M","E",3,70415
"53758",17.6,0.9226557,1,"SEDAN",2,"F","B",3,12305
"47572",17.9,0.63791919,1,"STNWG",4,"F","A",2,2883
"50519",47.099998,0.9445585,1,"STNWG",1,"M","D",5,3537
"49012",17.1,0.9500342,1,"TRUCK",1,"F","F",3,43300
"66355",22.9,0.64339489,1,"HDTOP",3,"M","E",4,10814
"5293",37.400002,0.49281311,1,"STNWG",2,"M","B",4,5536
"43729",21.989998,0.74195749,1,"SEDAN",1,"F","B",3,3163
"9728",12.6,0.1423682,1,"HBACK",2,"F","C",2,17282
"16914",34,0.55030799,1,"UTE",1,"M","C",2,3450
"30355",14.9,0.49555099,1,"HBACK",1,"F","E",5,3899
"31994",12.799999,0.52019173,1,"HBACK",2,"F","C",4,5913
"47153",18.9,0.98288852,1,"HBACK",2,"F","A",1,61549
"48179",11.599999,0.35318279,1,"SEDAN",3,"F","A",3,2000
"62564",14.099999,0.62696779,1,"HDTOP",3,"F","A",3,26657
"34095",5.4000001,0.77481169,2,"HBACK",4,"F","A",4,9397
"31924",16.5,0.087611198,1,"SEDAN",2,"F","B",1,3677
"26767",12.6,0.8459959,1,"SEDAN",3,"F","E",4,18754
"7382",28.4,0.52292949,1,"STNWG",3,"M","C",3,4272
"17230",25.5,0.42710471,1,"STNWG",3,"F","A",4,5545
"4327",47.099998,0.99931562,1,"STNWG",1,"F","D",6,2000
"28119",12.6,0.8021903,1,"SEDAN",3,"M","B",3,32063
"22006",13,0.90896648,1,"HDTOP",4,"F","A",2,8888
"5850",5.8999996,0.89253938,2,"SEDAN",4,"M","A",2,58205
"17636",7.3000002,0.83778232,1,"SEDAN",4,"F","C",5,3125
"37021",21.800001,0.93634498,1,"HBACK",3,"F","B",3,3944
"984",12.6,0.69541413,1,"STNWG",3,"F","B",2,4983
"54873",19.1,0.90896648,1,"UTE",3,"M","B",1,14104
"27838",4.6999998,0.3093771,1,"SEDAN",4,"M","B",4,10641
"24867",11.7,0.73921973,1,"HBACK",2,"F","D",4,3900
"29183",22.4,0.53388089,1,"SEDAN",2,"M","F",1,34346
"32351",19.5,0.72826833,1,"STNWG",3,"M","C",6,44095
"37003",10.5,0.67898703,1,"SEDAN",4,"M","B",2,22366
"1973",10.1,0.50924033,2,"HBACK",2,"F","D",2,217696
"53834",21.300001,0.68446273,1,"MIBUS",4,"M","B",1,16008
"36175",14,0.9281314,1,"STNWG",3,"M","A",1,40632
"46415",18.6,0.39972621,1,"SEDAN",1,"F","C",1,6873
"47798",21.199999,0.98015058,1,"SEDAN",2,"F","A",4,7428
"53306",15.1,0.98836422,1,"SEDAN",3,"F","B",2,12710
"67297",19.9,0.64613283,2,"HBACK",2,"F","B",6,11943
"20693",3.4000001,0.8240931,1,"PANVN",4,"F","C",3,31225
"35822",15,0.37234771,1,"HBACK",1,"F","C",4,2000
"34860",10.5,0.16700891,1,"SEDAN",4,"M","D",4,3537
"54166",29.799999,0.58316219,1,"STNWG",3,"F","C",2,2000
"51088",12.3,0.69541413,1,"SEDAN",3,"F","A",5,14230
"12106",9.5999994,0.1067762,1,"SEDAN",3,"M","A",3,2000
"31849",30,0.47364819,1,"STNWG",3,"M","A",2,20619
"50734",9.1999998,0.72826833,1,"HBACK",3,"F","C",4,3000
"40468",8.1999998,0.74195749,1,"HBACK",4,"F","C",6,8290
"28418",14.8,0.41067761,1,"SEDAN",2,"F","D",1,14163
"61323",5.6999998,0.94182068,1,"PANVN",4,"M","B",1,2000
"66881",13,0.99931562,2,"PANVN",4,"M","A",5,6808
"13797",13.3,0.60506499,1,"SEDAN",3,"F","C",5,7971
